"year","iso2c","LUR_PT","BGS_BP6_USD","CG01_GALM_G01_XDC","NGDP_R_CH_SA_XDC","BCG_GALM_G01_XDC"
"1947","US",NA,NA,NA,"1937550",NA
"1948","CA","2.3","730.80757799682",NA,NA,NA
"1948","US","3.76666666666667",NA,NA,"2018000",NA
"1948","ZA",NA,"-489.644917558488",NA,NA,NA
"1949","CA","2.8","493.658537066989",NA,NA,NA
"1949","FR",NA,NA,NA,"263031",NA
"1949","US","5.90833333333333",NA,NA,"2006975",NA
"1949","ZA",NA,"-256.852183907745",NA,NA,NA
"1950","CA","3.599999999","81.552463739987",NA,NA,NA
"1950","DE","11",NA,NA,NA,NA
"1950","FR",NA,NA,NA,"286065",NA
"1950","US","5.325",NA,NA,"2181850",NA
"1950","ZA",NA,"123.1999507693",NA,NA,NA
"1951","CA","2.399999999","-124.893225485503",NA,NA,NA
"1951","DE","10.4",NA,NA,NA,NA
"1951","FR",NA,NA,NA,"301442",NA
"1951","GB","1.1",NA,NA,NA,NA
"1951","US","3.33333333333333",NA,NA,"2357725",NA
"1951","ZA",NA,"-186.19992559451",NA,NA,NA
"1952","CA","2.899999999","521.698230826667",NA,NA,NA
"1952","DE","9.5",NA,NA,NA,NA
"1952","FR",NA,NA,NA,"311776",NA
"1952","GB","1.6",NA,NA,NA,NA
"1952","IL",NA,"-293",NA,NA,NA
"1952","US","3.03333333333333",NA,NA,"2453725",NA
"1952","ZA",NA,"-27.9999888112045",NA,NA,NA
"1953","CA","3.099999999","-139.322680547643",NA,NA,NA
"1953","DE","8.4",NA,NA,NA,NA
"1953","FR",NA,NA,NA,"321965",NA
"1953","GB","1.5",NA,NA,NA,NA
"1953","IL",NA,"-244",NA,NA,NA
"1953","US","2.925",NA,NA,"2568900",NA
"1953","ZA",NA,"-18.1999927272831",NA,NA,NA
"1954","CA","4.699999999","-79.944738502773",NA,NA,NA
"1954","FR",NA,NA,NA,"340199",NA
"1954","GB","1.199999999",NA,NA,NA,NA
"1954","IL",NA,"-213",NA,NA,NA
"1954","US","5.55",NA,NA,"2554400",NA
"1954","ZA",NA,"75.5999697902519",NA,NA,NA
"1955","CA","4.3","-270.684908094455",NA,NA,NA
"1955","FR",NA,NA,NA,"358240",NA
"1955","GB","1",NA,NA,NA,NA
"1955","IL",NA,"-265",NA,NA,NA
"1955","US","4.38333333333333",NA,NA,"2736400",NA
"1955","ZA",NA,"97.9999608392156",NA,NA,NA
"1956","CA","3.3","-877.55375538246",NA,NA,NA
"1956","FR",NA,NA,NA,"376250",NA
"1956","GB","1",NA,NA,NA,NA
"1956","IL",NA,"-336",NA,NA,NA
"1956","US","4.14166666666666",NA,NA,"2794750",NA
"1956","ZA",NA,"236.599905454678",NA,NA,NA
"1957","CA","4.74999999933333","-873.935969678696",NA,NA,NA
"1957","DE","3.75",NA,NA,NA,NA
"1957","FR",NA,NA,NA,"396973",NA
"1957","GB","1.33333333283333",NA,NA,NA,NA
"1957","IL",NA,"-311",NA,NA,NA
"1957","US","4.25833333333333",NA,NA,"2853550",NA
"1957","ZA",NA,"223.999910489636",NA,NA,NA
"1958","AT","5.38333333266667",NA,NA,NA,NA
"1958","CA","7.13333333283333","-501.355818659186",NA,NA,NA
"1958","DE","3.66666666666667",NA,NA,NA,NA
"1958","FR",NA,NA,NA,"407744",NA
"1958","GB","1.84166666608333",NA,NA,NA,NA
"1958","IL",NA,"-315",NA,NA,NA
